onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.263940	1.804700	choice_stranger	1.804700	2	low	2	4
9.524530	1.000000	outcome_stranger_defect	1.804700	2	low	2	4
15.557700	2.067860	choice_computer	2.067860	0	low	0	2
24.842200	2.159090	choice_computer	2.159090	4	low	4	8
30.124400	1.000000	outcome_computer_recip	2.159090	4	low	4	8
38.349100	1.641660	choice_friend	1.641660	8	high	4	8
43.623100	1.000000	outcome_friend_defect	1.641660	8	high	4	8
49.877400	1.520780	choice_stranger	1.520780	0	low	0	4
59.171100	1.785290	choice_computer	1.785290	0	low	0	2
68.676700	1.522290	choice_friend	1.522290	4	high	0	4
75.436600	1.000000	outcome_friend_defect	1.522290	4	high	0	4
81.645100	1.609790	choice_friend	1.609790	4	high	2	4
86.906700	1.000000	outcome_friend_defect	1.609790	4	high	2	4
93.206000	1.706090	choice_stranger	1.706090	4	low	4	8
99.988300	1.000000	outcome_stranger_recip	1.706090	4	low	4	8
103.978000	1.674810	choice_computer	1.674810	2	low	2	8
112.256000	1.000000	outcome_computer_defect	1.674810	2	low	2	8
116.481000	1.778510	choice_stranger	1.778510	0	low	0	4
132.773000	1.573430	choice_computer	1.573430	2	low	2	4
138.037000	1.000000	outcome_computer_defect	1.573430	2	low	2	4
142.277000	1.612330	choice_stranger	1.612330	0	low	0	8
151.555000	1.625710	choice_computer	1.625710	0	low	0	8
164.033000	2.553220	choice_stranger	2.553220	0	low	0	2
175.512000	1.631800	choice_friend	1.631800	8	high	2	8
182.299000	1.000000	outcome_friend_defect	1.631800	8	high	2	8
186.293000	1.609630	choice_computer	1.609630	0	low	0	4
195.764000	1.863550	choice_stranger	1.863550	0	low	0	8
206.747000	1.605510	choice_friend	1.605510	8	high	4	8
212.017000	1.000000	outcome_friend_recip	1.605510	8	high	4	8
216.226000	1.984450	choice_stranger	1.984450	2	high	0	2
221.500000	1.000000	outcome_stranger_defect	1.984450	2	high	0	2
227.729000	1.889120	choice_friend	1.889120	4	high	0	4
234.506000	1.000000	outcome_friend_recip	1.889120	4	high	0	4
244.735000	2.801870	choice_stranger	2.801870	2	low	2	8
250.005000	1.000000	outcome_stranger_defect	2.801870	2	low	2	8
256.011000	1.834120	choice_computer	1.834120	4	low	4	8
261.287000	1.000000	outcome_computer_defect	1.834120	4	low	4	8
267.290000	2.062170	choice_computer	2.062170	8	high	0	8
275.556000	1.000000	outcome_computer_recip	2.062170	8	high	0	8
283.810000	1.578610	choice_stranger	1.578610	2	low	2	4
290.571000	1.000000	outcome_stranger_recip	1.578610	2	low	2	4
294.795000	1.884600	choice_stranger	1.884600	2	low	2	8
301.555000	1.000000	outcome_stranger_recip	1.884600	2	low	2	8
309.800000	1.434650	choice_friend	1.434650	8	high	0	8
315.076000	1.000000	outcome_friend_recip	1.434650	8	high	0	8
319.088000	1.838000	choice_computer	1.838000	2	low	2	4
324.358000	1.000000	outcome_computer_recip	1.838000	2	low	2	4
334.602000	2.077640	choice_stranger	2.077640	4	low	4	8
342.856000	1.000000	outcome_stranger_defect	2.077640	4	low	4	8
347.125000	1.745030	choice_friend	1.745030	2	high	0	2
352.407000	1.000000	outcome_friend_recip	1.745030	2	high	0	2
358.643000	1.850790	choice_friend	1.850790	4	high	2	4
365.405000	1.000000	outcome_friend_recip	1.850790	4	high	2	4
369.627000	1.623840	choice_friend	1.623840	8	high	0	8
376.408000	1.000000	outcome_friend_defect	1.623840	8	high	0	8
380.414000	1.945240	choice_computer	1.945240	0	low	0	4
392.898000	1.634380	choice_friend	1.634380	8	high	2	8
398.161000	1.000000	outcome_friend_recip	1.634380	8	high	2	8
408.192000	2.410120	choice_computer	2.410120	2	low	2	8
414.962000	1.000000	outcome_computer_recip	2.410120	2	low	2	8
421.160000	2.182040	choice_friend	2.182040	2	high	0	2
426.412000	1.000000	outcome_friend_defect	2.182040	2	high	0	2
