TrialNumber,Trialn,Feedback,ITI,Partner,BlockType,Blockn,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,0.75,2,3,1,1,0,4.07922,3,5.04733,0.968108,1,6.58899,7.59561,3.51638,7.59583,8.34894
2,2,1,0.75,2,3,1,1,1,8.40791,3,9.29992,0.89201,1,10.9172,11.9272,3.51925,11.9273,12.6852
3,3,1,0.75,2,3,1,1,2,12.7412,3,13.1364,0.395196,1,15.254,16.2647,3.52349,16.2648,17.0219
4,4,3,0.75,2,3,1,1,3,17.0788,2,17.7057,0.626888,3,19.5671,20.5712,3.49238,20.5714,21.3245
5,5,2,0.75,2,3,1,1,4,21.3799,2,22.309,0.929115,5,23.881,24.8909,3.51102,24.8911,25.6447
6,6,1,0.75,2,3,1,1,5,25.7001,2,26.1616,0.461491,7,28.1978,29.2133,3.51321,29.2135,29.9643
7,7,1,0.75,2,3,1,1,6,30.0213,3,30.432,0.410757,1,32.5226,33.5404,3.51911,33.5405,34.301
8,8,1,12,2,3,1,1,7,34.357,2,34.5679,0.21092,6,36.8496,38.8626,4.5056,38.8628,50.8792
9,9,1,0.75,1,2,2,1,8,50.8918,3,51.6632,0.771342,4,53.3888,54.4026,3.51079,54.4028,55.1655
10,10,3,0.75,1,2,2,1,9,55.1678,3,55.6157,0.447911,7,57.6655,58.6772,3.5094,58.6773,59.4354
11,11,3,0.75,1,2,2,1,10,59.4375,3,60.3527,0.915112,7,61.9312,62.9466,3.50904,62.9468,63.7047
12,12,3,0.75,1,2,2,1,11,63.7069,2,64.4727,0.765897,1,66.2082,67.2193,3.51242,67.2194,67.9746
13,13,3,0.75,1,2,2,1,12,67.9768,3,68.5255,0.548642,8,70.4878,71.5056,3.52883,71.5058,72.261
14,14,3,0.75,1,2,2,1,13,72.2632,3,72.9119,0.64874,6,74.7694,75.7752,3.51203,75.7754,76.5307
15,15,3,0.75,1,2,2,1,14,76.5329,3,76.9314,0.398451,8,79.0325,80.0424,3.50953,80.0426,80.8007
16,16,2,8,1,2,2,1,15,80.803,0,999,999,999,83.3194,84.3467,3.54363,84.3468,92.3584
17,17,2,0.75,3,6,3,1,16,92.4301,2,93.1095,0.679396,5,94.9392,95.9459,3.5158,95.9461,96.7118
18,18,2,0.75,3,6,3,1,17,96.7677,2,97.0791,0.311409,5,99.2602,100.27,3.50229,100.27,101.032
19,19,3,0.75,3,6,3,1,18,101.088,2,101.482,0.394904,3,103.595,104.613,3.52523,104.613,105.368
20,20,3,0.75,3,6,3,1,19,105.424,3,105.87,0.446084,7,107.931,108.937,3.51299,108.937,109.688
21,21,3,0.75,3,6,3,1,20,109.744,3,110.322,0.577975,6,112.252,113.265,3.52146,113.266,114.024
22,22,3,0.75,3,6,3,1,21,114.079,2,114.741,0.661447,4,116.576,117.587,3.50725,117.587,118.344
23,23,3,0.75,3,6,3,1,22,118.4,2,118.928,0.528561,2,120.9,121.916,3.51586,121.916,122.68
24,24,3,10,3,6,3,1,23,122.734,3,123.148,0.413274,8,125.237,126.244,3.50985,126.244,136.256
25,25,1,0.75,2,3,4,1,24,136.33,3,136.957,0.627662,3,138.827,139.847,3.51691,139.847,140.61
26,26,1,0.75,2,3,4,1,25,140.666,2,141.16,0.494302,7,143.167,144.187,3.5213,144.187,144.946
27,27,1,0.75,2,3,4,1,26,145.001,2,145.547,0.546073,9,147.508,148.511,3.5105,148.512,149.266
28,28,1,0.75,2,3,4,1,27,149.323,2,150.284,0.960789,8,151.824,152.84,3.51758,152.84,153.601
29,29,3,0.75,2,3,4,1,28,153.657,3,153.97,0.312575,7,156.15,157.157,3.50029,157.157,157.922
30,30,2,0.75,2,3,4,1,29,157.978,3,159.557,1.57899,5,160.481,161.488,3.51035,161.488,162.242
31,31,1,0.75,2,3,4,1,30,162.299,3,162.725,0.426121,4,164.795,165.812,3.51286,165.812,166.577
32,32,1,12,2,3,4,1,31,166.633,2,167.262,0.628319,8,169.135,170.138,3.50495,170.138,182.139
33,33,1,0.75,1,1,5,1,32,182.15,2,182.773,0.622612,8,184.637,185.651,3.50037,185.651,186.409
34,34,1,0.75,1,1,5,1,33,186.411,3,187.06,0.648741,4,188.926,189.94,3.52909,189.94,190.695
35,35,3,0.75,1,1,5,1,34,190.697,3,191.129,0.431767,7,193.195,194.203,3.50509,194.203,194.965
36,36,2,0.75,1,1,5,1,35,194.967,2,195.282,0.314978,5,197.463,198.472,3.50465,198.472,199.234
37,37,1,0.75,1,1,5,1,36,199.237,2,201.27,2.03312,9,201.722,202.733,3.49601,202.733,203.488
38,38,1,0.75,1,1,5,1,37,203.49,3,203.939,0.448804,3,205.98,206.986,3.49604,206.986,207.741
39,39,1,0.75,1,1,5,1,38,207.743,3,208.074,0.3314,3,210.252,211.267,3.5241,211.267,212.027
40,40,1,12,1,1,5,1,39,212.029,3,212.494,0.465271,2,214.538,215.541,3.51201,215.541,227.554
41,41,3,0.75,1,2,6,1,40,227.557,2,228.172,0.615047,4,230.047,231.05,3.49265,231.05,231.807
42,42,2,0.75,1,2,6,1,41,231.81,2,232.459,0.649075,5,234.315,235.321,3.51164,235.321,236.077
43,43,2,0.75,1,2,6,1,42,236.08,2,237.712,1.63286,5,238.589,239.601,3.52149,239.601,240.364
44,44,3,0.75,1,2,6,1,43,240.366,3,240.881,0.515386,6,242.86,243.872,3.50571,243.872,244.633
45,45,3,0.75,1,2,6,1,44,244.636,3,245.268,0.631975,6,247.137,248.153,3.51682,248.153,248.903
46,46,3,0.75,1,2,6,1,45,248.905,2,249.337,0.431958,4,251.407,252.423,3.51724,252.423,253.173
47,47,3,0.75,1,2,6,1,46,253.175,2,254.074,0.898846,3,255.683,256.689,3.51399,256.689,257.442
48,48,3,8,1,2,6,1,47,257.445,3,257.81,0.365117,6,259.948,261.945,4.50043,261.945,269.951
49,49,1,0.75,3,5,7,1,48,270.023,3,270.886,0.86246,2,272.532,273.536,3.51293,273.536,274.288
50,50,1,0.75,3,5,7,1,49,274.345,3,274.789,0.444063,3,276.84,277.844,3.49897,277.844,278.607
51,51,1,0.75,3,5,7,1,50,278.662,3,278.941,0.278659,2,281.159,282.169,3.50674,282.169,282.927
52,52,1,0.75,3,5,7,1,51,282.983,2,283.411,0.428217,7,285.48,286.487,3.50401,286.487,287.247
