TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,2,2,8,5.000000e-01,0,1.0,0.0,4.26644,2.0,8,5.9555,high,1.68906,1.31094,6.48732,9.52058,9.53686,11.5517,7.28524,11.5521,13.5203
2,2,1,2,8,2,5.000000e-01,0,1.0,1.0,13.7642,2.0,2,16.2309,high,2.46664,0.533358,16.7698,19.0199,19.0201,21.0354,7.27115,21.0357,29.0192
3,3,1,3,4,0,5.000000e-01,4,1.0,2.0,29.4534,3.0,4,31.2932,high,1.83978,1.16022,31.8295,34.7062,34.7212,36.7374,7.28393,36.7377,40.7058
4,4,0,1,2,8,3.500000e+00,4,1.0,3.0,40.7223,2.0,8,43.036,high,2.31368,0.68632,43.5781,48.9709,48.9849,51.002,10.2797,51.0023,52.9706
5,5,1,3,4,4,5.000000e-01,8,1.0,4.0,53.383,3.0,8,56.197,high,2.81408,0.185916,56.7336,58.642,58.6562,60.6731,7.29017,60.6734,64.6416
6,6,0,2,4,2,5.000000e-01,0,1.0,5.0,64.8906,2.0,2,67.139,high,2.24837,0.751625,67.6705,70.1412,70.154,72.1567,7.26609,72.157,76.1408
7,7,0,3,2,2,2,0,1.0,6.0,76.4979,2.0,2,78.3817,high,1.88379,1.11621,78.9199,83.2496,83.2628,85.2651,8.7672,85.2654,87.2493
8,8,1,1,2,0,5.000000e-01,4,1.0,7.0,87.2695,999.0,999,90.2747,999,0.0,0.0,90.2881,92.5145,999.0,999.0,911.73,94.5459,96.5299
9,9,0,3,2,4,2,0,1.0,8.0,96.9451,999.0,999,99.949,999,0.0,0.0,99.9625,103.686,999.0,999.0,902.055,105.701,107.701
10,10,1,2,8,4,5.000000e-01,8,1.0,9.0,107.943,2.0,4,110.291,low,2.34804,0.651962,110.824,113.201,113.215,115.232,7.28857,115.232,123.2
11,11,0,1,6,0,5.000000e-01,8,1.0,10.0,123.214,2.0,0,125.337,low,2.12289,0.877106,125.925,128.465,128.465,130.481,7.26654,130.481,136.464
12,12,1,2,6,2,5.000000e-01,8,1.0,11.0,136.707,2.0,2,139.065,low,2.35758,0.642424,139.603,141.964,141.964,143.98,7.27225,143.98,149.964
13,13,0,2,2,4,5.000000e-01,0,1.0,12.0,150.236,3.0,0,152.826,low,2.5899,0.410102,153.367,155.494,155.495,157.51,7.27338,157.51,159.494
14,14,1,3,2,2,2,0,1.0,13.0,159.866,2.0,2,161.817,high,1.9504,1.0496,162.351,166.619,166.633,168.65,8.78327,168.65,170.618
15,15,1,3,4,8,5.000000e-01,2,1.0,14.0,171.026,2.0,8,172.792,high,1.76609,1.23391,173.334,176.29,176.29,178.305,7.2788,178.305,182.289
16,16,1,1,4,2,5.000000e-01,8,1.0,15.0,182.311,2.0,2,184.169,low,1.8575,1.1425,184.709,187.57,187.585,189.601,7.29017,189.602,193.57
17,17,1,1,2,0,2,8,1.0,16.0,193.579,2.0,0,195.695,low,2.11517,0.884828,196.224,200.335,200.335,202.35,8.77085,202.351,204.335
18,18,0,3,2,8,2,0,1.0,17.0,204.704,2.0,8,206.67,high,1.96662,1.03338,207.207,211.459,211.473,213.475,8.77077,213.475,215.459
19,19,1,2,4,4,2,2,1.0,18.0,215.697,2.0,4,217.879,high,2.18254,0.81746,218.41,222.458,222.472,224.489,8.79249,224.49,228.458
20,20,1,2,2,0,2,4,1.0,19.0,228.701,3.0,4,230.857,high,2.15666,0.843337,231.393,235.457,235.457,237.473,8.77227,237.473,239.457
