TrialNumber,IsFairBlock,Trialn,Offer,Partner,ITI,Blockn,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,0,1,3,2,0.750000,1,1.0,0.0,4.00984,2.0,1.08177,5.09161,7.52254,3.51333,7.52335,8.28825
2,0,2,5,2,0.750000,1,1.0,1.0,8.29161,2.0,1.0296,9.32121,11.8042,3.51308,11.8048,12.57
3,0,3,4,2,0.750000,1,1.0,2.0,12.5731,2.0,1.02792,13.601,16.086,3.51329,16.0866,16.8517
4,0,4,4,2,0.750000,1,1.0,3.0,16.8549,2.0,1.02597,17.8808,20.3677,3.51328,20.3683,21.1334
5,0,5,9,2,0.750000,1,1.0,4.0,21.1367,3.0,1.024,22.1607,24.6494,3.51318,24.65,25.4151
6,0,6,3,2,0.750000,1,1.0,5.0,25.4184,2.0,1.02215,26.4405,28.9311,3.5132,28.9317,29.6968
7,0,7,2,2,0.750000,1,1.0,6.0,29.7,2.0,1.02035,30.7204,33.2128,3.51323,33.2134,33.9785
8,0,8,3,2,12,1,1.0,7.0,33.982,2.0,1.01817,35.0001,37.4943,3.51282,37.4949,49.5114
9,0,9,1,1,0.750000,2,1.0,8.0,49.5152,2.0,1.02214,50.5374,53.0274,3.51262,53.028,53.7931
10,0,10,6,1,0.750000,2,1.0,9.0,53.7962,2.0,1.07119,54.8674,57.3091,3.51339,57.3097,58.0748
11,0,11,1,1,0.750000,2,1.0,10.0,58.0779,2.0,1.01911,59.097,61.5908,3.51345,61.5914,62.3565
12,0,12,7,1,0.750000,2,1.0,11.0,62.3594,2.0,1.11759,63.477,65.8725,3.51359,65.8731,66.6382
13,0,13,4,1,0.750000,2,1.0,12.0,66.6411,2.0,1.03273,67.6738,70.1698,3.52924,70.1704,70.9356
14,0,14,4,1,0.750000,2,1.0,13.0,70.9384,2.0,1.03133,71.9697,74.4672,3.52921,74.4678,75.2327
15,0,15,4,1,0.750000,2,1.0,14.0,75.2358,2.0,1.03046,76.2662,78.7489,3.51357,78.7495,79.5146
16,0,16,3,1,10,2,1.0,15.0,79.5174,2.0,1.02862,80.546,83.0306,3.51366,83.0312,93.0473
17,0,17,3,3,0.750000,3,1.0,16.0,93.0521,2.0,1.03276,94.0849,96.5789,3.52727,96.5795,97.3446
18,0,18,4,3,0.750000,3,1.0,17.0,97.3486,2.0,1.03289,98.3815,100.876,3.52814,100.877,101.642
19,0,19,3,3,0.750000,3,1.0,18.0,101.645,2.0,1.03237,102.678,105.174,3.52861,105.174,105.939
20,0,20,3,3,0.750000,3,1.0,19.0,105.943,2.0,1.0316,106.974,109.471,3.52837,109.471,110.237
21,0,21,2,3,0.750000,3,1.0,20.0,110.24,2.0,1.03061,111.271,113.768,3.52851,113.769,114.534
22,0,22,6,3,0.750000,3,1.0,21.0,114.538,2.0,1.02967,115.567,118.05,3.51284,118.051,118.816
23,0,23,7,3,0.750000,3,1.0,22.0,118.819,2.0,1.02803,119.847,122.332,3.51297,122.332,123.097
24,0,24,1,3,10,3,1.0,23.0,123.101,2.0,1.02578,124.127,126.613,3.51272,126.614,136.63
25,0,25,3,1,0.750000,4,1.0,24.0,136.634,2.0,1.19883,137.833,140.146,3.51278,140.147,140.912
26,0,26,2,1,0.750000,4,1.0,25.0,140.915,2.0,1.03076,141.946,144.443,3.52899,144.444,145.209
27,0,27,8,1,0.750000,4,1.0,26.0,145.212,3.0,1.03015,146.242,148.725,3.51363,148.726,149.491
28,0,28,6,1,0.750000,4,1.0,27.0,149.494,2.0,1.02823,150.522,153.007,3.51359,153.007,153.773
29,0,29,4,1,0.750000,4,1.0,28.0,153.775,2.0,1.02638,154.802,157.289,3.51359,157.289,158.054
30,0,30,2,1,0.750000,4,1.0,29.0,158.057,2.0,1.02446,159.082,161.57,3.51361,161.571,162.336
31,0,31,1,1,0.750000,4,1.0,30.0,162.339,2.0,1.02256,163.361,165.852,3.51361,165.853,166.618
