Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,4,3,0,5.000000e-01,4
2,2,4,1,1,5.000000e-01,4
3,0,8,1,0,5.000000e-01,2
4,2,8,2,1,5.000000e-01,2
5,8,0,3,1,5.000000e-01,6
6,8,2,1,1,5.000000e-01,6
7,4,8,2,0,5.000000e-01,2
8,2,0,2,1,2,8
9,4,2,2,0,3.500000e+00,4
10,4,0,3,1,2,8
11,2,0,1,1,2,6
12,2,4,1,0,2,2
13,0,2,2,0,2,2
14,0,8,2,0,5.000000e-01,4
15,0,2,1,0,2,2
16,8,0,3,0,5.000000e-01,2
17,8,2,3,1,3.500000e+00,2
18,4,0,1,0,3.500000e+00,2
19,0,4,3,0,5.000000e-01,8
20,0,8,2,1,5.000000e-01,4
21,4,8,3,1,5.000000e-01,2
22,2,8,2,0,2,4
23,4,2,3,0,2,2
24,4,8,1,1,5.000000e-01,2
25,2,0,3,1,2,2
26,8,4,1,0,5.000000e-01,6
27,8,2,1,0,5.000000e-01,4
28,4,8,2,1,5.000000e-01,2
29,4,0,2,0,5.000000e-01,4
30,0,2,3,0,3.500000e+00,2
31,2,4,2,1,5.000000e-01,2
32,0,4,2,1,3.500000e+00,4
33,8,0,1,1,2,2
34,0,4,1,1,5.000000e-01,6
35,2,8,3,0,3.500000e+00,2
36,4,2,3,1,5.000000e-01,4
